query,run_a,run_b,program_a,program_b,gene_jaccard,name_similarity,combined_similarity,overlap_count,genes_a_count,genes_b_count,is_match
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,EMT-Driven Invasion Program,0.375,0.2,0.32249999999999995,6,7,15,True
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Pro-Inflammatory Cytokine Signaling,0.0,0.0,0.0,0,7,7,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Angiogenesis and Vascular Signaling,0.0,0.0,0.0,0,7,5,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Immune Evasion and Checkpoint Activation,0.0,0.0,0.0,0,7,7,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Extracellular Matrix Proteolysis,0.07692307692307693,0.0,0.05384615384615385,1,7,7,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Glioma Stem Cell Maintenance,0.07692307692307693,0.0,0.05384615384615385,1,7,7,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Hypoxia Adaptation and Response,0.0,0.0,0.0,0,7,2,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Macrophage/Microglia Reprogramming,0.0,0.0,0.0,0,7,11,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Apoptosis Resistance and Survival Signaling,0.0,0.0,0.0,0,7,6,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Growth Factor and Receptor Signaling,0.0,0.0,0.0,0,7,4,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Transcriptional Master Regulation,0.1,0.0,0.06999999999999999,1,7,4,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Inflammatory Lipid Mediator Signaling,0.0,0.0,0.0,0,7,1,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Cellularity and Structural Organization,0.0,0.0,0.0,0,7,4,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,Metabolic Adaptation and Nutrient Sensing,0.0,0.0,0.0,0,7,6,False
0_Gliosis,20251126_125238,20251126_135814,EMT-Driven Invasive Dispersal,DNA Damage Response and Genomic Stability,0.0,0.0,0.0,0,7,3,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,EMT-Driven Invasion Program,0.058823529411764705,0.0,0.041176470588235294,1,3,15,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Pro-Inflammatory Cytokine Signaling,0.0,0.0,0.0,0,3,7,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Angiogenesis and Vascular Signaling,0.14285714285714285,0.0,0.09999999999999999,1,3,5,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Immune Evasion and Checkpoint Activation,0.1111111111111111,0.3333333333333333,0.17777777777777776,1,3,7,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Extracellular Matrix Proteolysis,0.1111111111111111,0.0,0.07777777777777777,1,3,7,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Glioma Stem Cell Maintenance,0.0,0.0,0.0,0,3,7,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Hypoxia Adaptation and Response,0.25,0.0,0.175,1,3,2,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Macrophage/Microglia Reprogramming,0.0,0.0,0.0,0,3,11,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Apoptosis Resistance and Survival Signaling,0.0,0.0,0.0,0,3,6,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Growth Factor and Receptor Signaling,0.0,0.0,0.0,0,3,4,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Transcriptional Master Regulation,0.0,0.0,0.0,0,3,4,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Inflammatory Lipid Mediator Signaling,0.0,0.0,0.0,0,3,1,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Cellularity and Structural Organization,0.0,0.0,0.0,0,3,4,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,Metabolic Adaptation and Nutrient Sensing,0.125,0.0,0.0875,1,3,6,False
0_Gliosis,20251126_125238,20251126_135814,Tryptophan-Pathway Immune Evasion,DNA Damage Response and Genomic Stability,0.0,0.0,0.0,0,3,3,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,EMT-Driven Invasion Program,0.0,0.0,0.0,0,6,15,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Pro-Inflammatory Cytokine Signaling,0.4444444444444444,0.2,0.37111111111111106,4,6,7,True
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Angiogenesis and Vascular Signaling,0.0,0.16666666666666666,0.049999999999999996,0,6,5,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Immune Evasion and Checkpoint Activation,0.08333333333333333,0.0,0.05833333333333333,1,6,7,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Extracellular Matrix Proteolysis,0.0,0.0,0.0,0,6,7,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Glioma Stem Cell Maintenance,0.0,0.0,0.0,0,6,7,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Hypoxia Adaptation and Response,0.0,0.0,0.0,0,6,2,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Macrophage/Microglia Reprogramming,0.0625,0.0,0.04375,1,6,11,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Apoptosis Resistance and Survival Signaling,0.2,0.14285714285714285,0.18285714285714283,2,6,6,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Growth Factor and Receptor Signaling,0.0,0.14285714285714285,0.04285714285714285,0,6,4,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Transcriptional Master Regulation,0.0,0.0,0.0,0,6,4,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Inflammatory Lipid Mediator Signaling,0.0,0.16666666666666666,0.049999999999999996,0,6,1,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Cellularity and Structural Organization,0.0,0.0,0.0,0,6,4,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,Metabolic Adaptation and Nutrient Sensing,0.0,0.0,0.0,0,6,6,False
0_Gliosis,20251126_125238,20251126_135814,IL-6/IL-1β-NF-κB/STAT3 Signaling Axis,DNA Damage Response and Genomic Stability,0.0,0.0,0.0,0,6,3,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,EMT-Driven Invasion Program,0.10526315789473684,0.0,0.07368421052631578,2,6,15,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Pro-Inflammatory Cytokine Signaling,0.08333333333333333,0.0,0.05833333333333333,1,6,7,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Angiogenesis and Vascular Signaling,0.1,0.16666666666666666,0.12,1,6,5,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Immune Evasion and Checkpoint Activation,0.08333333333333333,0.0,0.05833333333333333,1,6,7,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Extracellular Matrix Proteolysis,0.0,0.0,0.0,0,6,7,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Glioma Stem Cell Maintenance,0.08333333333333333,0.0,0.05833333333333333,1,6,7,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Hypoxia Adaptation and Response,0.0,0.0,0.0,0,6,2,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Macrophage/Microglia Reprogramming,0.13333333333333333,0.0,0.09333333333333332,2,6,11,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Apoptosis Resistance and Survival Signaling,0.0,0.0,0.0,0,6,6,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Growth Factor and Receptor Signaling,0.0,0.0,0.0,0,6,4,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Transcriptional Master Regulation,0.0,0.0,0.0,0,6,4,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Inflammatory Lipid Mediator Signaling,0.0,0.0,0.0,0,6,1,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Cellularity and Structural Organization,0.0,0.0,0.0,0,6,4,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,Metabolic Adaptation and Nutrient Sensing,0.0,0.0,0.0,0,6,6,False
0_Gliosis,20251126_125238,20251126_135814,VEGFA-Driven Tumor Angiogenesis,DNA Damage Response and Genomic Stability,0.0,0.0,0.0,0,6,3,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,EMT-Driven Invasion Program,0.0,0.0,0.0,0,1,15,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Pro-Inflammatory Cytokine Signaling,0.0,0.0,0.0,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Angiogenesis and Vascular Signaling,0.0,0.14285714285714285,0.04285714285714285,0,1,5,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Immune Evasion and Checkpoint Activation,0.0,0.125,0.0375,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Extracellular Matrix Proteolysis,0.0,0.0,0.0,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Glioma Stem Cell Maintenance,0.0,0.0,0.0,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Hypoxia Adaptation and Response,0.0,0.14285714285714285,0.04285714285714285,0,1,2,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Macrophage/Microglia Reprogramming,0.0,0.0,0.0,0,1,11,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Apoptosis Resistance and Survival Signaling,0.0,0.125,0.0375,0,1,6,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Growth Factor and Receptor Signaling,0.25,0.125,0.2125,1,1,4,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Transcriptional Master Regulation,0.0,0.0,0.0,0,1,4,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Inflammatory Lipid Mediator Signaling,0.0,0.0,0.0,0,1,1,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Cellularity and Structural Organization,0.0,0.14285714285714285,0.04285714285714285,0,1,4,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,Metabolic Adaptation and Nutrient Sensing,0.0,0.125,0.0375,0,1,6,False
0_Gliosis,20251126_125238,20251126_135814,MET-Driven Stemness and Invasiveness,DNA Damage Response and Genomic Stability,0.0,0.1111111111111111,0.03333333333333333,0,1,3,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,EMT-Driven Invasion Program,0.0,0.0,0.0,0,1,15,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Pro-Inflammatory Cytokine Signaling,0.0,0.0,0.0,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Angiogenesis and Vascular Signaling,0.0,0.0,0.0,0,1,5,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Immune Evasion and Checkpoint Activation,0.0,0.0,0.0,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Extracellular Matrix Proteolysis,0.0,0.0,0.0,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Glioma Stem Cell Maintenance,0.0,0.0,0.0,0,1,7,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Hypoxia Adaptation and Response,0.0,0.0,0.0,0,1,2,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Macrophage/Microglia Reprogramming,0.0,0.0,0.0,0,1,11,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Apoptosis Resistance and Survival Signaling,0.0,0.0,0.0,0,1,6,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Growth Factor and Receptor Signaling,0.25,0.0,0.175,1,1,4,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Transcriptional Master Regulation,0.0,0.0,0.0,0,1,4,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Inflammatory Lipid Mediator Signaling,0.0,0.0,0.0,0,1,1,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Cellularity and Structural Organization,0.0,0.0,0.0,0,1,4,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,Metabolic Adaptation and Nutrient Sensing,0.0,0.0,0.0,0,1,6,False
0_Gliosis,20251126_125238,20251126_135814,AXL-Mediated Mesenchymal Programming,DNA Damage Response and Genomic Stability,0.0,0.0,0.0,0,1,3,False
0_Gliosis,20251126_125238,20251126_135814,Apoptosis Evasion and Drug Resistance,EMT-Driven Invasion Program,0.0,0.0,0.0,0,2,15,False
0_Gliosis,20251126_125238,20251126_135814,Apoptosis Evasion and Drug Resistance,Pro-Inflammatory Cytokine Signaling,0.0,0.0,0.0,0,2,7,False
0_Gliosis,20251126_125238,20251126_135814,Apoptosis Evasion and Drug Resistance,Angiogenesis and Vascular Signaling,0.0,0.125,0.0375,0,2,5,False
