name,index
AMPA Receptor Trafficking and Synaptic Strength Regulation,0
AP-1 Transcription Factor-Driven Stress Response,1
AP-1 and Lineage-Specific Transcriptional Cascades,2
Actin Cytoskeletal Dynamics and Cell Projection Organization,3
Actin Cytoskeleton Regulation and Cellular Morphodynamics,4
Acute Neuroinflammatory Activation,5
Adherens Junction Disruption and Polarity Loss,6
Angiogenesis and Vascular Promotion,7
Antigen Processing and Presentation,8
Aquaporin-Mediated Water Transport and Edema Regulation,9
Astrocyte Activation and Neuroinflammation,10
Astrocyte Activation and Perilesional Neuroinflammation,11
Astrocyte Activation and Reactive Gliosis Program,12
Astrocyte Identity and Maturation,13
Astrocyte Identity and Reactive Gliosis,14
Astrocyte-Neuron Metabolic Coupling and Lactate Shuttle,15
Astrocyte-Specific Metabolic Support,16
Asymmetric Cell Division and Cancer Stem Cell Self-Renewal,17
Autophagy and Proteostasis,18
"Autophagy, Protein Quality Control, and Cellular Stress Response",19
Autophagy-Lysosomal Pathway and Proteostasis,20
Axon Guidance and Developmental Routing,21
Axon Guidance and Neuronal Differentiation,22
Axon Guidance and Neuronal Morphogenesis,23
Axon-Glia Communication and Neurite Support,24
Axonal Guidance and Circuit Wiring,25
Axonal Guidance and Growth Cone Signaling,26
CSF-Dependent Myeloid Cell Differentiation and Survival,27
Calcium Signaling and Intracellular Calcium Dynamics,28
Calcium Signaling and Ion Homeostasis,29
Calcium Signaling and Metabolic Adaptation,30
Calcium Signaling and Metabolic Coupling,31
Calcium Signaling and Ryanodine Receptor Activation,32
Calcium Signaling and Synaptic Plasticity Integration,33
Cell Adhesion Plasticity,34
Cell Adhesion and Epithelial-Mesenchymal Transition,35
Cell Adhesion and Extracellular Matrix Interactions,36
Cell Adhesion and Focal Adhesion Signaling,37
Cell Adhesion and Immune Cell Trafficking,38
Cell Adhesion and Junction Organization,39
Cell Adhesion and Junctional Organization,40
Cell Adhesion and Migration Control,41
Cell Adhesion and Polarity Protein Organization,42
Cell Adhesion and Recognition Molecules,43
"Cell Adhesion, Migration, and Extracellular Matrix Interactions",44
