query,run,program_name
Cluster_0,20251216_203354,Aquaporin-Mediated Water Transport and Edema Regulation
Cluster_0,20251216_203354,"Cell Adhesion, Polarity, and Tight Junction Organization"
Cluster_0,20251216_203354,Glutamate Signaling and Neurotransmitter Homeostasis
Cluster_0,20251216_203354,Ion Channel and Transporter Mediated Homeostasis
Cluster_0,20251216_203354,Metabolic Function and Mitochondrial Homeostasis
Cluster_0,20251216_203354,Neuron-Glial Interaction and Synaptic Plasticity
Cluster_0,20251216_203354,Reactive Astrocyte Phenotype and Inflammatory Immune Signaling
Cluster_0,20251216_203354,Receptor Tyrosine Kinase Signaling and Oncogenic Pathway Activation
Cluster_1,20251216_203928,Acute Neuroinflammatory Activation
Cluster_1,20251216_203928,Cytoskeletal Reorganization and Cell Migration
Cluster_1,20251216_203928,Growth Factor Signaling and Cellular Proliferation Control
Cluster_1,20251216_203928,Metabolic Reprogramming Toward Glycolysis and Biosynthesis
Cluster_1,20251216_203928,Oxidative Stress Response and Antioxidant Defense
Cluster_1,20251216_203928,Pan-Reactive Astrocyte Marker Expression
Cluster_1,20251216_203928,Synapse-Associated Pruning and Neuronal Interaction
Cluster_1,20251216_203928,Tumor Microenvironment Remodeling and Immunosuppression
Cluster_2,20251216_204435,Cell Cycle and Proliferation Control
Cluster_2,20251216_204435,Integrin-Mediated Cell-Substrate Adhesion
Cluster_2,20251216_204435,Ion Channel Diversity and Neuronal-Like Electrophysiology
Cluster_2,20251216_204435,RNA Processing and Post-Transcriptional Regulation
Cluster_2,20251216_204435,Rho-GTPase-Mediated Cytoskeletal Remodeling
Cluster_2,20251216_204435,Transcriptional Reprogramming and EMT Control
Cluster_2,20251216_204435,Vesicular Trafficking and Exosome Biogenesis
Cluster_3,20251216_204928,DNA Damage Response and Genomic Instability
Cluster_3,20251216_204928,Ion Channel and Electrophysiological Remodeling
Cluster_3,20251216_204928,Metabolic Reprogramming
Cluster_3,20251216_204928,Signaling Pathway Integration and Growth Promotion
Cluster_3,20251216_204928,Synaptic Interface Disruption
Cluster_5,20251216_210008,Cytoskeletal Organization and Focal Adhesion
Cluster_5,20251216_210008,Developmental Signaling and Stemness
Cluster_5,20251216_210008,Glutamate Metabolism and Neurotransmitter Transport
Cluster_6,20251216_210505,Cell Adhesion and Focal Adhesion Signaling
Cluster_6,20251216_210505,Cell Migration and Neuronal Process Outgrowth
Cluster_6,20251216_210505,Developmental Plasticity and Progenitor Identity
Cluster_6,20251216_210505,Glutamatergic Excitatory Signaling
Cluster_6,20251216_210505,Immune-Glial Crosstalk and Microglial Function
Cluster_6,20251216_210505,Metabolic Reprogramming and Lactate Metabolism
Cluster_6,20251216_210505,Transcriptional and Epigenetic Regulation
Cluster_8,20251216_211633,Actin Cytoskeletal Dynamics and Cell Projection Organization
Cluster_8,20251216_211633,Astrocyte-Neuron Metabolic Coupling and Lactate Shuttle
Cluster_8,20251216_211633,Axonal Guidance and Growth Cone Signaling
Cluster_8,20251216_211633,Extracellular Matrix Remodeling and Perineuronal Net Organization
Cluster_8,20251216_211633,Glutamate-Glutamine Cycle and Amino Acid Homeostasis
Cluster_8,20251216_211633,Lysosomal Acidification and Autophagy Flux
Cluster_8,20251216_211633,Microtubule Organization and Intracellular Vesicular Transport
Cluster_8,20251216_211633,Phospholipid Metabolism and Bioactive Lipid Signaling
Cluster_8,20251216_211633,Serine Protease-Mediated Proteolysis and Protease Inhibition
Cluster_8,20251216_211633,Synaptic Organization and Neuronal-Astrocytic Tripartite Synapse
Cluster_9,20251216_212120,Cytoskeletal Dynamics and Dendritic Morphology
Cluster_9,20251216_212120,Extracellular Matrix Interactions and Cell Adhesion
Cluster_9,20251216_212120,Glutamatergic Synaptic Transmission and Plasticity
Cluster_9,20251216_212120,Voltage-Gated Ion Channels and Neuronal Excitability Control
Cluster_0,20251216_214706,Calcium Signaling and Metabolic Adaptation
Cluster_0,20251216_214706,Cell Adhesion and Extracellular Matrix Interactions
Cluster_0,20251216_214706,Gap Junction Communication and Astrocyte Network Integration
Cluster_0,20251216_214706,Glutamate Metabolism and Synaptic Homeostasis
Cluster_0,20251216_214706,Growth Factor Signaling and Metabolic Adaptation
Cluster_0,20251216_214706,Ion Homeostasis and Intracellular Calcium Regulation
Cluster_0,20251216_214706,Mitochondrial Quality Control and Senescence Prevention
